Reviewer,Date of Review,Name,Giant Bomb Score
Jeff,2010-09-29 18:00:00,Dead Rising 2,3
Jeff,2010-10-04 13:00:00,Borderlands,4
Brad,2010-10-06 14:00:00,Enslaved: Odyssey to the West,4
Ryan,2010-10-05 17:00:00,Guitar Hero: Warriors of Rock,2
Jeff,2010-10-05 18:00:00,Comic Jumper,4
Jeff,2010-10-07 16:00:00,Def Jam Rapstar,4
Jeff,2010-10-12 06:00:00,Medal of Honor,3
Alex,2010-10-16 19:00:00,Kirby's Epic Yarn,5
Jeff,2010-10-18 21:00:00,Fallout: New Vegas,4
Brad,2010-10-19 20:00:00,Super Meat Boy,5
Alex,2010-10-20 15:00:00,Costume Quest,4
Jeff,2010-10-20 15:00:00,EA Sports MMA,4
Ryan,2010-10-20 16:00:00,Wii Party,4
Brad,2010-10-25 21:00:00,Fable III,3
Jeff,2010-10-25 15:00:00,DJ Hero 2,4
Ryan,2010-10-25 22:00:00,Rock Band 3,5
Alex,2010-11-01 16:00:00,WWE SmackDown! vs. RAW 2011,2
Ryan,2010-11-02 21:00:00,Vanquish,4
Ryan,2010-11-02 23:00:00,Game Dev Story,4
Brad,2010-11-03 17:00:00,Star Wars: The Force Unleashed II,3
Jeff,2010-11-03 15:00:00,James Bond 007: Blood Stone,3
Alex,2010-11-04 15:00:00,GoldenEye 007,4
Alex,2010-11-08 12:00:00,Kinect Adventures!,3
Jeff,2010-11-09 00:00:00,Call of Duty: Black Ops,4
Jeff,2010-11-10 15:00:00,Dance Central,4
Alex,2010-11-12 12:00:00,Kinect Sports,4
Ryan,2010-11-17 03:00:00,Assassin's Creed: Brotherhood,5
Brad,2010-11-19 18:00:00,Donkey Kong Country Returns,4
Jeff,2010-11-19 14:00:00,Need for Speed: Hot Pursuit,4
Ryan,2010-11-20 16:00:00,Pac-Man Championship Edition DX,5
Jeff,2010-11-23 12:00:00,NBA Jam,4
Ryan,2010-11-24 17:00:00,PowerGig: Rise of the SixString,1
Alex,2010-11-28 12:00:00,Splatterhouse,3
Jeff,2010-12-01 16:00:00,Tron: Evolution,3
Dave,2010-12-02 15:00:00,Gran Turismo 5,3
Brad,2010-12-03 17:00:00,Dead Nation,2
Ryan,2010-12-08 17:00:00,Disney Epic Mickey,2
Alex,2011-01-11 13:00:00,Lost in Shadow,3
Jeff,2011-01-21 14:00:00,DC Universe Online,2
Brad,2011-01-24 23:00:00,Dead Space 2,5
Jeff,2011-01-26 14:00:00,LittleBigPlanet 2,5
Jeff,2011-02-07 16:00:00,Bionic Commando Rearmed 2,3
Alex,2011-02-08 14:00:00,Stacking,4
Alex,2011-02-09 17:00:00,Mario Sports Mix,2
Ryan,2011-02-09 18:00:00,You Don't Know Jack,4
Jeff,2011-02-16 17:00:00,Marvel vs. Capcom 3: Fate of Two Worlds,4
Jeff,2011-02-21 17:00:00,Killzone 3,4
Jeff,2011-02-23 17:00:00,Bulletstorm,4
Alex,2011-03-15 12:00:00,Homefront,3
Jeff,2011-03-21 12:00:00,Full House Poker,4
Jeff,2011-03-22 09:00:00,Crysis 2,4
Jeff,2011-03-23 12:51:45,Super Street Fighter IV,4
Alex,2011-03-24 14:00:00,Swarm,3
Brad,2011-03-25 15:00:00,Pilotwings Resort,3
Jeff,2011-03-26 18:00:00,Ridge Racer 3D,3
Jeff,2011-03-29 15:00:00,WWE All Stars,4
Alex,2011-03-30 13:00:00,Madden NFL Football,1
Jeff,2011-04-19 00:00:00,Mortal Kombat,5
Ryan,2011-04-19 00:00:00,Portal 2,5
Brad,2011-05-04 17:00:00,Outland,4
Jeff,2011-05-10 15:00:00,Brink,2
Brad,2011-05-11 16:00:00,LEGO Pirates of the Caribbean: The Video Game,4
Brad,2011-05-16 09:00:00,L.A. Noire,5
Alex,2011-05-24 16:00:00,MotorStorm: Apocalypse,3
Drew,2011-05-24 14:00:00,DiRT 3,5
Brad,2011-06-01 18:00:00,Red Faction: Armageddon,3
Jeff,2011-06-14 11:00:00,Duke Nukem Forever,2
Ryan,2011-06-16 12:00:00,Alice: Madness Returns,4
Brad,2011-06-17 15:00:00,inFamous 2,4
Ryan,2011-06-18 17:00:00,Child of Eden,3
Brad,2011-06-20 19:00:00,The Legend of Zelda: Ocarina of Time 3D,5
Alex,2011-06-21 12:00:00,Shadows of the Damned,4
Jeff,2011-06-22 15:00:00,Iron Brigade,4
Ryan,2011-06-25 19:00:00,F.E.A.R. 3,2
Matt,2011-06-30 12:00:00,Resident Evil: The Mercenaries 3D,2
Alex,2011-06-28 16:00:00,Lucha Fury,1
Alex,2011-07-01 16:00:00,Jamestown: Legend of the Lost Colony,4
Alex,2011-07-08 16:00:00,Dead Block,2
Matt,2011-07-12 17:00:00,Earth Defense Force: Insect Armageddon,2
Brad,2011-07-13 17:00:00,Ms. Splosion Man,3
Matt,2011-07-19 09:00:00,Captain America: Super Soldier,3
Ryan,2011-07-20 09:00:00,Puzzle Agent 2,3
Brad,2011-07-26 13:00:00,From Dust,4
Jeff,2011-07-28 15:00:00,Catherine,2
Brad,2011-08-03 04:00:00,Insanely Twisted Shadow Planet,4
Matt,2011-08-01 17:00:00,Yakuza 4,3
Ryan,2011-08-09 23:00:00,Fruit Ninja Kinect,4
Brad,2011-08-17 04:00:00,Toy Soldiers: Cold War,4
Jeff,2011-08-23 15:00:00,Deus Ex: Human Revolution,4
